timestamp,symbol,action,price,amount,trade_value,atr,net_flow,tp_price,sl_price,reason,realized_pnl,actual_balance,effective_balance,sim_mode,sim_equity,sim_total_pnl,regime_signal,mean_adx,market_score
2026-04-21 18:58:23,APT/USDT:USDT,LONG_ENTRY,0.9447,211.72,200.01,0.0018,4933.8,0.9537,0.9425,,,1000.0,1000.0,SIM,1000.0,0.0,2,28.35,0.3415
2026-04-21 19:00:06,NEAR/USDT:USDT,LONG_ENTRY,1.3906,143.7,199.83,0.0028,66312.78,1.4048,1.3872,,,799.88,799.8781094638,SIM,1000.0,0.0,2,28.07,0.311
2026-04-21 19:01:10,APT/USDT:USDT,LONG_EXIT,0.9425,211.72,,,,,,SL (Long IOC Exit),-0.6179,,,SIM,998.9323,-0.6179,,,
2026-04-21 19:04:31,XRP/USDT:USDT,LONG_ENTRY,1.4423000000000001,138.6,199.9,0.0022,27583.6,1.4532,1.4397,,,799.33,799.333012327,SIM,998.9323,-0.6179,2,27.69,0.2514
2026-04-21 19:04:33,ADA/USDT:USDT,LONG_ENTRY,0.2507,798.0,200.06,0.0005,4628.76,0.2532,0.2501,,,599.32,599.320285798,SIM,998.9323,-0.6179,2,27.69,0.2514
2026-04-21 19:04:35,SUI/USDT:USDT,LONG_ENTRY,0.9562,200.0,191.24,0.0026,8709.4,0.9691,0.9531,,,399.15,399.15165356800003,SIM,998.9323,-0.6179,2,27.69,0.2514
2026-04-21 19:04:38,ATOM/USDT:USDT,LONG_ENTRY,1.8108666666666666,110.4,199.92,0.0032,3265.8,1.827,1.807,,,207.81,207.806471568,SIM,998.9323,-0.6179,2,27.69,0.2514
2026-04-21 19:07:49,ATOM/USDT:USDT,LONG_EXIT,1.8069,110.4,,,,,,SL (Long IOC Exit),-0.5771,,,SIM,997.9542,-1.1949,,,
2026-04-21 19:09:35,NEAR/USDT:USDT,LONG_EXIT,1.3867,143.7,,,,,,SL (Long IOC Exit),-0.4498,,,SIM,997.2793,-1.6447,,,
2026-04-21 19:10:14,ADA/USDT:USDT,LONG_EXIT,0.2501,798.0,,,,,,SL (Long IOC Exit),-0.6683,,,SIM,996.5163,-2.313,,,
2026-04-21 19:10:44,DOT/USDT:USDT,LONG_ENTRY,1.2848,155.6,199.91,0.0023,14322.67,1.2963,1.282,,,605.89,605.8891429465,SIM,996.5163,-2.313,2,25.51,0.2258
2026-04-21 19:10:46,LINK/USDT:USDT,LONG_ENTRY,9.418999999999999,21.2,199.68,0.0174,15393.02,9.506,9.398,,,405.86,405.8643097625,SIM,996.5163,-2.313,2,25.51,0.2258
2026-04-21 19:10:49,AVAX/USDT:USDT,LONG_ENTRY,9.406,21.2,199.41,0.0143,8958.0,9.477,9.389,,,206.07,206.07168422250004,SIM,996.5163,-2.313,2,25.51,0.2258
2026-04-21 19:11:20,XRP/USDT:USDT,LONG_EXIT,1.4386,138.6,,,,,,SL (Long IOC Exit),-0.6502,,,SIM,994.2303,-2.9632,,,
2026-04-21 19:11:23,DOT/USDT:USDT,LONG_EXIT,1.2819,155.6,,,,,,SL (Long IOC Exit),-0.5454,,,SIM,994.2553,-3.5086,,,
2026-04-21 19:11:25,LINK/USDT:USDT,LONG_EXIT,9.394,21.2,,,,,,SL (Long IOC Exit),-0.6183,,,SIM,994.2081,-4.127,,,
2026-04-21 19:11:26,AVAX/USDT:USDT,LONG_EXIT,9.386,21.2,,,,,,SL (Long IOC Exit),-0.4911,,,SIM,994.0775,-4.618,,,
2026-04-21 19:21:39,SUI/USDT:USDT,LONG_EXIT,0.9567,200.0,,,,,,Flow Reversal (Long Dump Detected),-0.0452,,,SIM,994.3523,-4.6633,,,
